Time,Channel A,Channel H
(ms),(V),(V)

-98.79206665,1.65791700,4.87242100
-98.78206665,1.65791700,4.87791500
-98.77206665,1.65532300,4.87791500
-98.76206665,1.65791700,4.86723200
-98.75206665,1.65791700,4.87791500
-98.74206665,1.65532300,4.86723200
-98.73206665,1.65532300,4.87242100
-98.72206665,1.65532300,4.87791500
-98.71206665,1.66066400,4.87791500
-98.70206665,1.65532300,4.87242100
-98.69206665,1.65532300,4.87242100
-98.68206665,1.65532300,4.87242100
-98.67206666,1.66341100,4.87242100
-98.66206666,1.65532300,4.87242100
-98.65206666,1.65791700,4.87242100
-98.64206666,1.65532300,4.87791500
-98.63206666,1.65791700,4.87242100
-98.62206666,1.65791700,4.86723200
-98.61206666,1.65791700,4.87791500
-98.60206666,1.65791700,4.87242100
-98.59206666,1.65791700,4.87791500
-98.58206666,1.65532300,4.86723200
-98.57206666,1.65532300,4.87242100
-98.56206666,1.66066400,4.87791500
-98.55206666,1.65532300,4.87791500
-98.54206666,1.65791700,4.88340900
-98.53206666,1.65532300,4.87242100
-98.52206666,1.65791700,4.86723200
-98.51206666,1.65791700,4.86723200
-98.50206666,1.65532300,4.87242100
-98.49206666,1.65791700,4.86723200
-98.48206666,1.65791700,4.88340900
-98.47206666,1.65532300,4.87242100
-98.46206666,1.65532300,4.87242100
-98.45206666,1.65532300,4.87242100
-98.44206666,1.65791700,4.88340900
-98.43206666,1.65791700,4.87791500
-98.42206666,1.65791700,4.87242100
-98.41206666,1.65532300,4.88340900
-98.40206666,1.65791700,4.87242100
-98.39206666,1.65532300,4.87242100
-98.38206666,1.65791700,4.87791500
-98.37206666,1.65791700,4.87242100
-98.36206666,1.65791700,4.87791500
-98.35206666,1.66066400,4.87242100
-98.34206666,1.65532300,4.87242100
-98.33206666,1.65791700,4.88340900
-98.32206666,1.65791700,4.88340900
-98.31206666,1.65532300,4.87791500
-98.30206666,1.65791700,4.88340900
-98.29206666,1.65791700,4.88340900
-98.28206666,1.65532300,4.87242100
-98.27206667,1.65791700,4.88340900
-98.26206667,1.65532300,4.87791500
-98.25206667,1.66066400,4.86723200
-98.24206667,1.65532300,4.87791500
-98.23206667,1.65532300,4.88340900
-98.22206667,1.65532300,4.87242100
-98.21206667,1.65532300,4.88859700
-98.20206667,1.65532300,4.86173800
-98.19206667,1.65532300,4.87791500
-98.18206667,1.65532300,4.86723200
-98.17206667,1.65532300,4.86723200
-98.16206667,1.65532300,4.86173800
-98.15206667,1.65532300,4.87791500
-98.14206667,1.65532300,4.87242100
-98.13206667,1.65532300,4.87791500
-98.12206667,1.65532300,4.86723200
-98.11206667,1.65791700,4.87791500
-98.10206667,1.65791700,4.86173800
-98.09206667,1.65532300,4.87242100
-98.08206667,1.65791700,4.87242100
-98.07206667,1.65532300,4.87791500
-98.06206667,1.65791700,4.87791500
-98.05206667,1.65532300,4.87791500
-98.04206667,1.65791700,4.87242100
-98.03206667,1.65532300,4.88340900
-98.02206667,1.65791700,4.87242100
-98.01206667,1.65791700,4.87791500
-98.00206667,1.65532300,4.87242100
-97.99206667,1.65791700,4.86723200
-97.98206667,1.65791700,4.87791500
-97.97206667,1.65532300,4.86723200
-97.96206667,1.65791700,4.87242100
-97.95206667,1.65791700,4.87242100
-97.94206667,1.66066400,4.87242100
-97.93206667,1.65532300,4.86723200
-97.92206667,1.65532300,4.87791500
-97.91206667,1.65532300,4.87791500
-97.90206667,1.65532300,4.88859700
-97.89206667,1.65257600,4.88340900
-97.88206668,1.65791700,4.87791500
-97.87206668,1.65257600,4.86723200
-97.86206668,1.65532300,4.87242100
-97.85206668,1.65532300,4.86723200
-97.84206668,1.65791700,4.87242100
-97.83206668,1.65532300,4.87791500
-97.82206668,1.65532300,4.88340900
-97.81206668,1.65532300,4.87791500
-97.80206668,1.65791700,4.86723200
-97.79206668,1.65532300,4.87791500
-97.78206668,1.65257600,4.88340900
-97.77206668,1.65532300,4.87791500
-97.76206668,1.65532300,4.87242100
-97.75206668,1.65791700,4.87242100
-97.74206668,1.65791700,4.87242100
-97.73206668,1.65532300,4.88340900
-97.72206668,1.65791700,4.88340900
-97.71206668,1.65257600,4.87242100
-97.70206668,1.65791700,4.87791500
-97.69206668,1.65791700,4.88340900
-97.68206668,1.65791700,4.87242100
-97.67206668,1.65532300,4.87791500
-97.66206668,1.65791700,4.87242100
-97.65206668,1.65791700,4.87242100
-97.64206668,1.65532300,4.86723200
-97.63206668,1.65257600,4.86723200
-97.62206668,1.65532300,4.87242100
-97.61206668,1.65532300,4.87791500
-97.60206668,1.65791700,4.87242100
-97.59206668,1.65532300,4.87242100
-97.58206668,1.66066400,4.87242100
-97.57206668,1.65532300,4.86723200
-97.56206668,1.65532300,4.87791500
-97.55206668,1.65532300,4.87791500
-97.54206668,1.65532300,4.87242100
-97.53206668,1.65791700,4.87242100
-97.52206668,1.65791700,4.87242100
-97.51206668,1.65791700,4.87242100
-97.50206668,1.65532300,4.87791500
-97.49206668,1.65532300,4.87791500
-97.48206669,1.65532300,4.87242100
-97.47206669,1.65532300,4.87242100
-97.46206669,1.65791700,4.87242100
-97.45206669,1.65532300,4.87242100
-97.44206669,1.65532300,4.87242100
-97.43206669,1.65791700,4.87242100
-97.42206669,1.65532300,4.87791500
-97.41206669,1.65532300,4.87242100
-97.40206669,1.65532300,4.87791500
-97.39206669,1.65791700,4.86723200
-97.38206669,1.65532300,4.87242100
-97.37206669,1.65532300,4.88859700
-97.36206669,1.65791700,4.87242100
-97.35206669,1.65532300,4.88340900
-97.34206669,1.66066400,4.87791500
-97.33206669,1.65791700,4.86173800
-97.32206669,1.65532300,4.87242100
-97.31206669,1.65791700,4.87242100
-97.30206669,1.65532300,4.87242100
-97.29206669,1.65791700,4.87791500
-97.28206669,1.65791700,4.88340900
-97.27206669,1.65791700,4.87791500
-97.26206669,1.65791700,4.87791500
-97.25206669,1.65532300,4.86173800
-97.24206669,1.65791700,4.87242100
-97.23206669,1.65791700,4.87242100
-97.22206669,1.65532300,4.87791500
-97.21206669,1.65791700,4.87242100
-97.20206669,1.65791700,4.87242100
-97.19206669,1.65791700,4.87791500
-97.18206669,1.65791700,4.88340900
-97.17206669,1.65791700,4.88340900
-97.16206669,1.65791700,4.87791500
-97.15206669,1.66066400,4.87791500
-97.14206669,1.65791700,4.87791500
-97.13206669,1.65791700,4.86723200
-97.12206669,1.66066400,4.88340900
-97.11206669,1.65791700,4.87242100
-97.10206669,1.65791700,4.87242100
-97.09206670,1.66066400,4.88340900
-97.08206670,1.65791700,4.86723200
-97.07206670,1.65791700,4.87791500
-97.06206670,1.65791700,4.87791500
-97.05206670,1.65532300,4.87791500
-97.04206670,1.65532300,4.85655000
-97.03206670,1.65257600,4.86723200
-97.02206670,1.64723500,4.84556200
-97.01206670,1.65532300,4.86173800
-97.00206670,1.65532300,4.85105600
-96.99206670,1.64723500,4.87791500
-96.98206670,1.65532300,4.85655000
-96.97206670,1.65532300,4.86173800
-96.96206670,1.65532300,4.86173800
-96.95206670,1.65532300,4.85655000
-96.94206670,1.65257600,4.85655000
-96.93206670,1.64982900,4.87791500
-96.92206670,1.65532300,4.86723200
-96.91206670,1.65791700,4.88340900
-96.90206670,1.63365300,4.81870300
-96.89206670,1.64982900,4.85655000
-96.88206670,1.65532300,4.86723200
-96.87206670,1.65791700,4.86723200
-96.86206670,1.66066400,4.86723200
-96.85206670,1.65791700,4.86173800
-96.84206670,1.64448800,4.87791500
-96.83206670,1.64982900,4.87242100
-96.82206670,1.65257600,4.86723200
-96.81206670,1.65791700,4.88340900
-96.80206670,1.65791700,4.87242100
-96.79206670,1.65791700,4.87791500
-96.78206670,1.65791700,4.87791500
-96.77206670,1.65257600,4.88340900
