Time,Channel A,Channel H
(ms),(V),(V)

-99.99266267,1.65532300,4.87242100
-99.98266267,1.65791700,4.87791500
-99.97266267,1.65532300,4.88859700
-99.96266267,1.65791700,4.87242100
-99.95266267,1.65791700,4.87791500
-99.94266267,1.65791700,4.87242100
-99.93266267,1.65257600,4.87791500
-99.92266267,1.65791700,4.87242100
-99.91266267,1.65532300,4.87791500
-99.90266267,1.65532300,4.86173800
-99.89266267,1.65532300,4.86723200
-99.88266267,1.65791700,4.87242100
-99.87266267,1.65532300,4.87242100
-99.86266267,1.65791700,4.87242100
-99.85266267,1.65532300,4.87791500
-99.84266267,1.65532300,4.87791500
-99.83266267,1.65532300,4.87242100
-99.82266267,1.65532300,4.87242100
-99.81266267,1.65532300,4.86723200
-99.80266267,1.65532300,4.87242100
-99.79266267,1.65791700,4.87242100
-99.78266267,1.65532300,4.86173800
-99.77266267,1.65791700,4.87242100
-99.76266267,1.65791700,4.86173800
-99.75266267,1.65532300,4.87242100
-99.74266267,1.65532300,4.87242100
-99.73266267,1.65791700,4.87242100
-99.72266268,1.65532300,4.87791500
-99.71266268,1.65532300,4.86723200
-99.70266268,1.65532300,4.87791500
-99.69266268,1.65532300,4.88340900
-99.68266268,1.65257600,4.87242100
-99.67266268,1.65257600,4.87242100
-99.66266268,1.65532300,4.88859700
-99.65266268,1.65532300,4.87791500
-99.64266268,1.65532300,4.86723200
-99.63266268,1.65532300,4.88340900
-99.62266268,1.65532300,4.87242100
-99.61266268,1.65257600,4.87242100
-99.60266268,1.65532300,4.87791500
-99.59266268,1.65257600,4.87791500
-99.58266268,1.65532300,4.86723200
-99.57266268,1.65532300,4.87791500
-99.56266268,1.65257600,4.88340900
-99.55266268,1.65257600,4.87242100
-99.54266268,1.65532300,4.88340900
-99.53266268,1.65532300,4.87791500
-99.52266268,1.65532300,4.87791500
-99.51266268,1.65791700,4.88340900
-99.50266268,1.65791700,4.87791500
-99.49266268,1.65532300,4.88340900
-99.48266268,1.65791700,4.87242100
-99.47266268,1.65532300,4.87791500
-99.46266268,1.65791700,4.87791500
-99.45266268,1.65791700,4.87242100
-99.44266268,1.65532300,4.88340900
-99.43266268,1.65532300,4.87791500
-99.42266268,1.65532300,4.87242100
-99.41266268,1.65532300,4.86723200
-99.40266268,1.65532300,4.86723200
-99.39266268,1.66066400,4.87791500
-99.38266268,1.65532300,4.87791500
-99.37266268,1.65791700,4.87242100
-99.36266268,1.65791700,4.87242100
-99.35266268,1.66066400,4.86723200
-99.34266268,1.65791700,4.87791500
-99.33266268,1.65791700,4.86173800
-99.32266269,1.65791700,4.88340900
-99.31266269,1.65791700,4.87242100
-99.30266269,1.65532300,4.87242100
-99.29266269,1.65532300,4.88340900
-99.28266269,1.65791700,4.87791500
-99.27266269,1.65791700,4.87791500
-99.26266269,1.65791700,4.88340900
-99.25266269,1.65532300,4.87791500
-99.24266269,1.65532300,4.87242100
-99.23266269,1.65791700,4.86723200
-99.22266269,1.65532300,4.87242100
-99.21266269,1.65791700,4.87242100
-99.20266269,1.65791700,4.86723200
-99.19266269,1.65791700,4.88340900
-99.18266269,1.65532300,4.87242100
-99.17266269,1.65791700,4.88859700
-99.16266269,1.65791700,4.88340900
-99.15266269,1.65532300,4.86723200
-99.14266269,1.65532300,4.86723200
-99.13266269,1.65532300,4.86723200
-99.12266269,1.65532300,4.88340900
-99.11266269,1.65532300,4.87242100
-99.10266269,1.65257600,4.87242100
-99.09266269,1.65532300,4.87791500
-99.08266269,1.65532300,4.87791500
-99.07266269,1.65791700,4.88340900
-99.06266269,1.65532300,4.87242100
-99.05266269,1.65791700,4.87242100
-99.04266269,1.65532300,4.87242100
-99.03266269,1.65532300,4.87242100
-99.02266269,1.65532300,4.86723200
-99.01266269,1.65532300,4.86723200
-99.00266269,1.65532300,4.88340900
-98.99266269,1.65257600,4.87791500
-98.98266269,1.65532300,4.86173800
-98.97266269,1.65791700,4.87242100
-98.96266269,1.65532300,4.87791500
-98.95266269,1.65791700,4.87791500
-98.94266269,1.65791700,4.87791500
-98.93266270,1.65791700,4.87791500
-98.92266270,1.65532300,4.87242100
-98.91266270,1.65532300,4.87242100
-98.90266270,1.65532300,4.87791500
-98.89266270,1.65532300,4.87791500
-98.88266270,1.65532300,4.87242100
-98.87266270,1.65532300,4.87242100
-98.86266270,1.65257600,4.87242100
-98.85266270,1.65532300,4.87791500
-98.84266270,1.65532300,4.86723200
-98.83266270,1.65532300,4.87791500
-98.82266270,1.65791700,4.88340900
-98.81266270,1.65791700,4.87791500
-98.80266270,1.65532300,4.87791500
