Time,Channel A,Channel H
(ms),(V),(V)

-99.99893606,1.60587800,4.87150500
-99.98893606,1.60587800,4.86082300
-99.97893606,1.60587800,4.87150500
-99.96893606,1.60587800,4.86601200
-99.95893606,1.60587800,4.86601200
-99.94893606,1.60313100,4.87669400
-99.93893606,1.60587800,4.86601200
-99.92893606,1.60587800,4.87150500
-99.91893606,1.60587800,4.87150500
-99.90893606,1.60587800,4.87669400
-99.89893606,1.60587800,4.88218800
-99.88893606,1.60587800,4.86601200
-99.87893606,1.60587800,4.86601200
-99.86893606,1.60862500,4.86601200
-99.85893606,1.60587800,4.87150500
-99.84893606,1.60862500,4.86601200
-99.83893606,1.60587800,4.87669400
-99.82893606,1.60587800,4.87669400
-99.81893606,1.60587800,4.88218800
-99.80893606,1.60587800,4.87150500
-99.79893606,1.60587800,4.87150500
-99.78893606,1.60862500,4.87150500
-99.77893606,1.60862500,4.86601200
-99.76893606,1.60313100,4.86601200
-99.75893606,1.60587800,4.87669400
-99.74893606,1.60587800,4.86601200
-99.73893606,1.60587800,4.87150500
-99.72893606,1.60862500,4.87150500
-99.71893606,1.60313100,4.85532900
-99.70893606,1.60587800,4.87669400
-99.69893606,1.60862500,4.87150500
-99.68893606,1.60313100,4.87669400
-99.67893607,1.60587800,4.87669400
-99.66893607,1.60862500,4.86601200
-99.65893607,1.60862500,4.86601200
-99.64893607,1.60587800,4.86601200
-99.63893607,1.60587800,4.86082300
-99.62893607,1.60587800,4.87150500
-99.61893607,1.60587800,4.87150500
-99.60893607,1.60587800,4.88218800
-99.59893607,1.60862500,4.87669400
-99.58893607,1.60862500,4.87669400
-99.57893607,1.60862500,4.86601200
-99.56893607,1.60587800,4.86601200
-99.55893607,1.60862500,4.87150500
-99.54893607,1.60587800,4.87669400
-99.53893607,1.60587800,4.87150500
-99.52893607,1.60862500,4.87669400
-99.51893607,1.60313100,4.87150500
-99.50893607,1.60862500,4.86601200
-99.49893607,1.60587800,4.86601200
-99.48893607,1.60587800,4.87150500
-99.47893607,1.60587800,4.87669400
-99.46893607,1.60862500,4.87150500
-99.45893607,1.60862500,4.87669400
-99.44893607,1.60862500,4.87150500
-99.43893607,1.60862500,4.87150500
-99.42893607,1.60587800,4.86601200
-99.41893607,1.60587800,4.87669400
-99.40893607,1.60862500,4.87669400
-99.39893607,1.60862500,4.87150500
-99.38893607,1.60862500,4.86601200
-99.37893607,1.60862500,4.86601200
-99.36893607,1.60587800,4.86082300
-99.35893607,1.60587800,4.87669400
-99.34893607,1.60862500,4.86601200
-99.33893607,1.60862500,4.86601200
-99.32893607,1.60862500,4.86601200
-99.31893607,1.60862500,4.86601200
-99.30893607,1.60587800,4.86082300
-99.29893607,1.60862500,4.88218800
-99.28893608,1.60862500,4.87150500
-99.27893608,1.60587800,4.87669400
-99.26893608,1.61122000,4.87150500
-99.25893608,1.60862500,4.87150500
-99.24893608,1.60862500,4.87669400
-99.23893608,1.60587800,4.87150500
-99.22893608,1.60862500,4.87150500
-99.21893608,1.60862500,4.87669400
-99.20893608,1.60313100,4.86601200
-99.19893608,1.60587800,4.87150500
-99.18893608,1.60862500,4.87669400
-99.17893608,1.60862500,4.86601200
-99.16893608,1.60587800,4.87150500
-99.15893608,1.60587800,4.87150500
-99.14893608,1.60587800,4.87150500
-99.13893608,1.60587800,4.87669400
-99.12893608,1.60587800,4.86601200
-99.11893608,1.60587800,4.87150500
-99.10893608,1.60862500,4.87150500
-99.09893608,1.60587800,4.87150500
-99.08893608,1.60313100,4.86601200
-99.07893608,1.60587800,4.87669400
-99.06893608,1.60587800,4.87150500
-99.05893608,1.60587800,4.86601200
-99.04893608,1.60587800,4.87150500
-99.03893608,1.60313100,4.85532900
-99.02893608,1.60862500,4.87669400
-99.01893608,1.60862500,4.87150500
-99.00893608,1.60587800,4.86601200
-98.99893608,1.60862500,4.87150500
-98.98893608,1.60862500,4.87150500
-98.97893608,1.60587800,4.86601200
-98.96893608,1.60587800,4.87669400
-98.95893608,1.60587800,4.87150500
-98.94893608,1.60587800,4.87150500
-98.93893608,1.60587800,4.87669400
-98.92893608,1.60587800,4.87669400
-98.91893608,1.60587800,4.86082300
-98.90893608,1.60862500,4.87669400
-98.89893608,1.60587800,4.86601200
-98.88893609,1.60587800,4.86601200
-98.87893609,1.60862500,4.87150500
-98.86893609,1.60862500,4.86601200
-98.85893609,1.60862500,4.87150500
-98.84893609,1.60587800,4.87669400
-98.83893609,1.60862500,4.87669400
-98.82893609,1.60587800,4.87150500
-98.81893609,1.60587800,4.87150500
-98.80893609,1.60862500,4.87150500
