,init_pos,peak_vel
0,8.362593262020047,8.82964572489386
1,9.452438736265018,6.50200420331829
2,14.08206292556182,1.4447955553065768
3,13.734195447902106,1.9384779077741838
4,10.438041858747985,4.434574362516335
5,9.20108833439758,7.392049423286528
6,9.406199936037757,6.9222804446082815
7,14.104787184510059,2.280584748554577
8,14.174649476282163,1.6400592843628767
9,11.764648285424581,3.695697051005736
10,9.101585410582024,879.8822776686287
11,12.41091583910692,3.181950202186768
12,12.655401147593862,2.708415432047281
13,10.820700306302658,3.3787259407852877
14,14.1241814994249,1.696503391857795
15,13.606861613001172,2.1086998614517833
16,12.632978694580416,2.7698388241964214
17,9.088205886972812,7.498515304184907
18,13.797152383303782,3.6963624510113986
19,10.996725276491453,3.3198085791542082
20,12.248791316294131,2.5561210698584964
21,7.573949802182054,1124.3035488159833
22,12.162573096948506,3.1830036346573287
23,13.956881592210559,1.7305174258659233
24,13.731762409609487,2.3156529255782807
25,13.300982712455925,2.0564339325564207
26,10.632008582157518,4.2538563250520935
27,14.190400068736029,2.869362662870265
28,11.341823890796784,3.1598466183704117
29,12.75418571112979,2.5446774941453154
30,13.968763741631113,1.8720858819405908
31,13.262857957420067,4.783924314281869
32,10.475101167862146,4.888706854659848
33,13.839724536985395,1.8238422111085353
34,14.218318567392101,1.571715286271162
35,11.476555859989814,3.178409117866045
36,14.070197733605413,3.6400935951285036
37,12.320355597813041,2.952739546069187
38,9.34662465116437,5.503364759342604
39,13.815131986805685,1.9092635451335187
40,14.379463200252788,0.0
41,11.123298822114016,3.302016118484824
42,11.74211435928001,2.898292955947108
43,13.870480005545716,3.1912234920501295
44,12.353403099362836,2.5893115672897395
45,10.871665792451939,663.98567166157
46,12.30302661987985,366.5806270957042
47,12.860134959087048,2.331906659222639
48,13.84747082532006,1.6781317955003108
49,7.938416326407744,9.007056484254424
50,13.49102225021163,2.605664236133884
51,14.077671972936965,1.8952945219517834
52,7.221886696249436,11.04832011637363
