Time,Channel A,Channel H
(ms),(V),(V)

-99.99724478,1.60313100,4.87669400
-99.98724478,1.60313100,4.87150500
-99.97724478,1.60313100,4.87150500
-99.96724478,1.60587800,4.87669400
-99.95724478,1.60313100,4.87150500
-99.94724478,1.60313100,4.87150500
-99.93724478,1.60587800,4.87150500
-99.92724478,1.60313100,4.86082300
-99.91724478,1.60587800,4.88218800
-99.90724478,1.60313100,4.86082300
-99.89724478,1.60313100,4.87669400
-99.88724478,1.60313100,4.87150500
-99.87724478,1.60587800,4.86601200
-99.86724478,1.60587800,4.87150500
-99.85724478,1.60587800,4.87669400
-99.84724478,1.60587800,4.86601200
-99.83724478,1.60587800,4.86601200
-99.82724478,1.60313100,4.87669400
-99.81724478,1.60587800,4.86082300
-99.80724478,1.60313100,4.86601200
-99.79724478,1.60313100,4.88218800
-99.78724478,1.60313100,4.87669400
-99.77724478,1.60587800,4.87669400
-99.76724478,1.60313100,4.86601200
-99.75724478,1.60313100,4.87150500
-99.74724478,1.60313100,4.87150500
-99.73724478,1.60587800,4.87669400
-99.72724478,1.60313100,4.87150500
-99.71724478,1.60587800,4.87669400
-99.70724478,1.60313100,4.88218800
-99.69724478,1.60313100,4.86601200
-99.68724478,1.60313100,4.87669400
-99.67724478,1.60862500,4.87150500
-99.66724478,1.60053700,4.87150500
-99.65724478,1.60313100,4.86601200
-99.64724478,1.60313100,4.87150500
-99.63724478,1.60587800,4.87669400
-99.62724478,1.60313100,4.86601200
-99.61724478,1.60313100,4.88218800
-99.60724479,1.60313100,4.87150500
-99.59724479,1.60587800,4.87150500
-99.58724479,1.60313100,4.87669400
-99.57724479,1.60862500,4.87669400
-99.56724479,1.60313100,4.88218800
-99.55724479,1.60313100,4.87669400
-99.54724479,1.60587800,4.87669400
-99.53724479,1.60313100,4.87669400
-99.52724479,1.60587800,4.88768100
-99.51724479,1.60313100,4.87150500
-99.50724479,1.60053700,4.87150500
-99.49724479,1.60053700,4.87150500
-99.48724479,1.60587800,4.87150500
-99.47724479,1.60053700,4.87669400
-99.46724479,1.60313100,4.87150500
-99.45724479,1.60313100,4.86601200
-99.44724479,1.60862500,4.86601200
-99.43724479,1.60313100,4.87669400
-99.42724479,1.60587800,4.87150500
-99.41724479,1.60587800,4.87150500
-99.40724479,1.60587800,4.87150500
-99.39724479,1.60313100,4.86601200
-99.38724479,1.60587800,4.87669400
-99.37724479,1.60313100,4.87669400
-99.36724479,1.60587800,4.87150500
-99.35724479,1.60313100,4.87150500
-99.34724479,1.60313100,4.87669400
-99.33724479,1.60587800,4.87150500
-99.32724479,1.60313100,4.87150500
-99.31724479,1.60313100,4.87669400
-99.30724479,1.60587800,4.87150500
-99.29724479,1.60313100,4.87669400
-99.28724479,1.60313100,4.87150500
-99.27724479,1.60313100,4.87150500
-99.26724479,1.60313100,4.87150500
-99.25724479,1.60313100,4.87150500
-99.24724479,1.60313100,4.86601200
-99.23724479,1.60053700,4.87150500
-99.22724479,1.60587800,4.86601200
-99.21724479,1.60587800,4.87150500
-99.20724480,1.60313100,4.86601200
-99.19724480,1.60313100,4.87150500
-99.18724480,1.60587800,4.87669400
-99.17724480,1.60587800,4.87150500
-99.16724480,1.60313100,4.87150500
-99.15724480,1.60313100,4.87150500
-99.14724480,1.60313100,4.87150500
-99.13724480,1.60313100,4.88218800
-99.12724480,1.60313100,4.87150500
-99.11724480,1.60587800,4.87150500
-99.10724480,1.60313100,4.87150500
-99.09724480,1.60313100,4.86601200
-99.08724480,1.60313100,4.87150500
-99.07724480,1.60053700,4.87669400
-99.06724480,1.60313100,4.88218800
-99.05724480,1.60053700,4.87669400
-99.04724480,1.60313100,4.87669400
-99.03724480,1.60313100,4.87150500
-99.02724480,1.60313100,4.86082300
-99.01724480,1.60313100,4.85532900
-99.00724480,1.60313100,4.86601200
-98.99724480,1.60313100,4.87150500
-98.98724480,1.60313100,4.87150500
-98.97724480,1.60313100,4.86601200
-98.96724480,1.60313100,4.87150500
-98.95724480,1.60587800,4.87150500
-98.94724480,1.60313100,4.87150500
-98.93724480,1.60587800,4.87150500
-98.92724480,1.60313100,4.87669400
-98.91724480,1.60587800,4.87669400
-98.90724480,1.60313100,4.86601200
-98.89724480,1.60313100,4.86601200
-98.88724480,1.60313100,4.87669400
-98.87724480,1.60313100,4.87150500
-98.86724480,1.60862500,4.86601200
-98.85724480,1.60587800,4.87150500
-98.84724480,1.60313100,4.87669400
-98.83724480,1.60313100,4.86601200
-98.82724480,1.60053700,4.86601200
-98.81724481,1.60313100,4.86601200
-98.80724481,1.60313100,4.87669400
