,init_pos,final_pos,peak_pos
0,13.421058551526778,0.004891657852456016,0.019136457374829108
1,6.821854156548548,0.05378156176652782,0.09130040608480006
2,6.613322117078084,0.049293199591759373,0.10878473739545813
3,8.39964324753786,0.052990101714068594,0.08916515635603428
4,6.954185527724617,0.13135976072378275,0.1329707613711133
5,7.385972858350634,0.10394772442954958,0.15846103210329654
6,7.187772481779239,0.15775983755254197,0.16083306760810756
7,5.600423369496438,0.23851807352141455,0.2603638282176256
8,5.0769066755149055,0.29694303937162714,0.33869526599538313
9,4.969776009748424,0.32373654004130176,0.323385460070623
10,6.403620738666831,0.20497172647834483,0.2053233053046529
11,9.2614192737386,0.04308864755624875,0.09388228720548492
12,7.9821166784365305,0.10177851840839203,0.17892882182697836
13,8.076271182363291,0.11574509383866388,0.18400723502542926
14,12.378318623423898,0.00035882420909977286,0.01413899151130682
15,6.6150239702818565,0.15335848163498106,0.15105640713833923
16,14.03846153846154,-0.0,-0.0
17,10.822562748607206,-0.0012315310196188145,0.020845919047177863
18,7.114581417435772,0.1265913848907697,0.1721665733296056
19,12.499498172772958,-0.0002622607968710833,0.0141137828965755
20,9.923832635674131,0.003852886394744348,0.04276996568723787
21,11.285084153537785,0.0009821689133381328,0.021990135470777883
22,9.813374244153138,0.014583776869350196,0.04538051746149971
23,13.706113938536713,-0.00036756127949919004,0.010528718568367179
24,12.622686683172395,0.006557047339682709,0.015160559592550527
25,11.951134800491197,0.002023471012807254,0.016790888943140514
26,10.630794461606389,0.006724589009480031,0.02209315063382966
27,12.852833379543812,0.0006719041500067302,0.009590273986685216
28,9.612541296704908,0.03871493408136911,0.06349348658036891
29,11.52390638243769,0.00019127818520225937,0.017092909925483513
