Time,Channel A,Channel H
(ms),(V),(V)

-99.99199957,1.65791700,4.87791500
-99.98199957,1.65532300,4.87242100
-99.97199957,1.65532300,4.87791500
-99.96199957,1.65532300,4.87791500
-99.95199957,1.65791700,4.87242100
-99.94199957,1.65257600,4.87242100
-99.93199957,1.65791700,4.87242100
-99.92199957,1.65791700,4.88340900
-99.91199957,1.65791700,4.87242100
-99.90199957,1.65791700,4.87791500
-99.89199957,1.65791700,4.87791500
-99.88199957,1.65791700,4.86723200
-99.87199957,1.65791700,4.86723200
-99.86199957,1.65791700,4.87242100
-99.85199957,1.66066400,4.87242100
-99.84199957,1.65532300,4.88340900
-99.83199957,1.65532300,4.86723200
-99.82199957,1.65532300,4.87791500
-99.81199957,1.66066400,4.88340900
-99.80199957,1.66066400,4.87242100
-99.79199957,1.65791700,4.88859700
-99.78199957,1.65791700,4.86723200
-99.77199957,1.65791700,4.87791500
-99.76199957,1.65791700,4.87242100
-99.75199957,1.65532300,4.87242100
-99.74199957,1.65791700,4.87791500
-99.73199957,1.65532300,4.87242100
-99.72199957,1.65791700,4.88340900
-99.71199957,1.65532300,4.88859700
-99.70199957,1.65257600,4.88340900
-99.69199957,1.65791700,4.87242100
-99.68199957,1.65791700,4.86723200
-99.67199957,1.65532300,4.87242100
-99.66199957,1.65791700,4.88340900
-99.65199958,1.65532300,4.87242100
-99.64199958,1.65532300,4.86723200
-99.63199958,1.64982900,4.87242100
-99.62199958,1.65791700,4.86723200
-99.61199958,1.65257600,4.87242100
-99.60199958,1.65791700,4.87791500
-99.59199958,1.65532300,4.87791500
-99.58199958,1.65791700,4.87242100
-99.57199958,1.65532300,4.87242100
-99.56199958,1.65532300,4.86723200
-99.55199958,1.65791700,4.87791500
-99.54199958,1.65532300,4.87242100
-99.53199958,1.65257600,4.87242100
-99.52199958,1.65532300,4.88340900
-99.51199958,1.65532300,4.88340900
-99.50199958,1.65532300,4.87242100
-99.49199958,1.65532300,4.87242100
-99.48199958,1.65257600,4.86723200
-99.47199958,1.65532300,4.86173800
-99.46199958,1.65532300,4.87242100
-99.45199958,1.65532300,4.86723200
-99.44199958,1.65257600,4.87242100
-99.43199958,1.65257600,4.86723200
-99.42199958,1.65532300,4.87242100
-99.41199958,1.65791700,4.87242100
-99.40199958,1.65791700,4.87791500
-99.39199958,1.65257600,4.86723200
-99.38199958,1.65532300,4.87791500
-99.37199958,1.65532300,4.87242100
-99.36199958,1.65532300,4.88340900
-99.35199958,1.65532300,4.87242100
-99.34199958,1.65532300,4.87242100
-99.33199958,1.65532300,4.87242100
-99.32199958,1.65532300,4.87242100
-99.31199958,1.65257600,4.86173800
-99.30199958,1.65532300,4.87791500
-99.29199958,1.65532300,4.86173800
-99.28199958,1.65532300,4.86723200
-99.27199958,1.65791700,4.86723200
-99.26199958,1.65257600,4.87242100
-99.25199959,1.65532300,4.87242100
-99.24199959,1.65532300,4.87242100
-99.23199959,1.65791700,4.87791500
-99.22199959,1.65532300,4.86723200
-99.21199959,1.65532300,4.87242100
-99.20199959,1.65791700,4.87242100
-99.19199959,1.65791700,4.87791500
-99.18199959,1.65257600,4.86723200
-99.17199959,1.65532300,4.86173800
-99.16199959,1.65791700,4.86723200
-99.15199959,1.65532300,4.86723200
-99.14199959,1.66066400,4.87242100
-99.13199959,1.65532300,4.86173800
-99.12199959,1.65257600,4.87791500
-99.11199959,1.65532300,4.87242100
-99.10199959,1.65532300,4.87242100
-99.09199959,1.65791700,4.86723200
-99.08199959,1.65791700,4.87242100
-99.07199959,1.65791700,4.87791500
-99.06199959,1.65532300,4.87242100
-99.05199959,1.65791700,4.86723200
-99.04199959,1.65791700,4.87242100
-99.03199959,1.65791700,4.87791500
-99.02199959,1.65791700,4.86723200
-99.01199959,1.65257600,4.87242100
-99.00199959,1.65532300,4.88859700
-98.99199959,1.65532300,4.86723200
-98.98199959,1.65532300,4.87791500
-98.97199959,1.65532300,4.87242100
-98.96199959,1.65532300,4.88340900
-98.95199959,1.65532300,4.86723200
-98.94199959,1.65532300,4.87791500
-98.93199959,1.65257600,4.87242100
-98.92199959,1.65532300,4.87791500
-98.91199959,1.65532300,4.87242100
-98.90199959,1.65257600,4.86723200
-98.89199959,1.65532300,4.87242100
-98.88199959,1.65791700,4.86723200
-98.87199959,1.65532300,4.87242100
-98.86199960,1.65532300,4.87242100
-98.85199960,1.65791700,4.87242100
-98.84199960,1.65791700,4.87791500
-98.83199960,1.65532300,4.87791500
-98.82199960,1.65532300,4.87242100
-98.81199960,1.65257600,4.87242100
-98.80199960,1.65532300,4.87791500
