Time,Channel A,Channel H
(ms),(V),(V)

-98.79322894,1.60313100,4.86601200
-98.78322894,1.60053700,4.87669400
-98.77322894,1.60053700,4.87150500
-98.76322894,1.60313100,4.86601200
-98.75322894,1.60313100,4.87150500
-98.74322894,1.60313100,4.86601200
-98.73322894,1.60313100,4.87669400
-98.72322894,1.60587800,4.87669400
-98.71322894,1.60313100,4.86601200
-98.70322894,1.60313100,4.86082300
-98.69322895,1.60313100,4.87150500
-98.68322895,1.60313100,4.87669400
-98.67322895,1.60313100,4.87150500
-98.66322895,1.60313100,4.86601200
-98.65322895,1.60862500,4.87150500
-98.64322895,1.60313100,4.86601200
-98.63322895,1.60313100,4.87150500
-98.62322895,1.60313100,4.86601200
-98.61322895,1.60313100,4.87150500
-98.60322895,1.60587800,4.87669400
-98.59322895,1.60313100,4.87669400
-98.58322895,1.60587800,4.87669400
-98.57322895,1.60313100,4.86601200
-98.56322895,1.60313100,4.87150500
-98.55322895,1.60313100,4.86601200
-98.54322895,1.60313100,4.87150500
-98.53322895,1.60587800,4.86082300
-98.52322895,1.60313100,4.87150500
-98.51322895,1.60313100,4.87150500
-98.50322895,1.60053700,4.86601200
-98.49322895,1.60053700,4.87669400
-98.48322895,1.60313100,4.86601200
-98.47322895,1.60313100,4.86082300
-98.46322895,1.60053700,4.87150500
-98.45322895,1.60053700,4.86082300
-98.44322895,1.60313100,4.86601200
-98.43322895,1.60313100,4.86601200
-98.42322895,1.60053700,4.87150500
-98.41322895,1.60053700,4.87669400
-98.40322895,1.60053700,4.87150500
-98.39322895,1.60313100,4.87669400
-98.38322895,1.60053700,4.88218800
-98.37322895,1.60053700,4.87150500
-98.36322895,1.60053700,4.87150500
-98.35322895,1.60053700,4.86601200
-98.34322895,1.60053700,4.86082300
-98.33322895,1.60053700,4.87150500
-98.32322895,1.60313100,4.87669400
-98.31322895,1.60313100,4.87150500
-98.30322896,1.60053700,4.87150500
-98.29322896,1.60053700,4.86601200
-98.28322896,1.60313100,4.88218800
-98.27322896,1.60313100,4.86082300
-98.26322896,1.60053700,4.87150500
-98.25322896,1.60313100,4.87669400
-98.24322896,1.60313100,4.87150500
-98.23322896,1.60053700,4.86601200
-98.22322896,1.60313100,4.87150500
-98.21322896,1.60053700,4.87150500
-98.20322896,1.60053700,4.86601200
-98.19322896,1.59779000,4.87669400
-98.18322896,1.60053700,4.86601200
-98.17322896,1.60053700,4.86601200
-98.16322896,1.60313100,4.86601200
-98.15322896,1.60053700,4.86601200
-98.14322896,1.60053700,4.86601200
-98.13322896,1.60313100,4.86601200
