frame,y,x,mass,size,ecc,signal,raw_mass,ep,frame,particle
0,135.332723470988,124.2470813730615,1086.36608289169,3.182066077244659,0.169937473335721,24.13515866330205,5890.141373109544,0.0007661532405490349,0,0
1,136.04596646366898,124.40285309084842,1125.703547364969,3.231250180018516,0.19853568565893842,23.947143119885467,6100.285953375542,0.0007465599937485846,1,0
2,135.35476891119959,124.2611216894582,1083.2678429681919,3.186896531612276,0.17087950474700472,23.908023191698888,5888.795861735778,0.0007590637620455905,2,0
3,136.0701681371733,124.38313634093558,1134.0334335911282,3.2307103855765145,0.1930694763963876,24.070128647056578,6090.71258202066,0.0007105145358189184,3,0
4,135.327036908078,124.2425139275766,1091.6245801090477,3.1828968209324584,0.17051117941619406,24.230872904579314,5908.826614794654,0.0007580113995655757,4,0
5,135.34384554905216,124.22879357036778,1076.2869598480245,3.184177818721068,0.17262569671033343,23.975991505306737,5870.22406744484,0.0007657223556272286,5,0
6,135.3357809260539,124.22874913614375,1077.2052262312575,3.1894375827075785,0.1733828585985745,23.729037032564847,5892.999980778024,0.0007710135326409291,6,0
7,135.34784493972768,124.23180990373776,1077.2689275551686,3.1869454469385268,0.17339431561396196,23.72962514951113,5896.297237413871,0.0007871826633734271,7,0
8,135.33912741178514,124.22266643490353,1088.6019025571154,3.1848437354647476,0.17392257070224912,24.12597646028719,5913.33747677702,0.0007537115010449523,8,0
9,135.36891774891774,124.18753246753246,1079.4244893822483,3.1827592918655836,0.17164780457044498,23.831449765582107,5894.6822428429,0.0007549471507538849,9,0
10,135.35171334145068,124.2354322490868,1088.2253691394744,3.185992454695653,0.17634526596612793,24.03976724312285,5889.7418394180195,0.0007468927168552715,10,0
11,135.34160571229538,124.21185997910136,1088.933269723721,3.183710936261409,0.17545103589965622,24.179552749873636,5894.983621502833,0.0007515658343521255,11,0
12,135.3813941390671,124.2046124501474,1085.2628751936809,3.1899709539449277,0.16850739538698117,23.993587062111033,5868.297602128873,0.0007370011786177887,12,0
13,135.3598478298461,124.2230676119661,1088.5793067227562,3.1887967469040546,0.1653262340339769,24.000321910280377,5885.898776063252,0.0007465184078344789,13,0
14,135.32019958706124,124.28492773571921,1089.8203622537628,3.1917930719977536,0.16293095125419496,23.90779356286214,5905.018353180487,0.0007590449086163502,14,0
15,135.35119409465915,124.23586626139817,1079.0858441772543,3.1870613369156704,0.17398382627848613,23.896386475484135,5879.747632847459,0.000769125500767854,15,0
16,135.32717287071745,124.2424374509633,1082.832122792323,3.1814616445038895,0.16766341105469007,24.07132693854436,5900.549925872772,0.0007712468292449143,16,0
17,135.3390879762839,124.2184148574418,1078.9562830104933,3.1847246362607784,0.1742501174978713,23.9893497399665,5878.240613114171,0.0007702481062896852,17,0
18,135.32262569832403,124.21368715083798,1083.6715930845608,3.183571217724526,0.17520189938258485,24.121530746906686,5909.830319185137,0.0007835301526116587,18,0
19,135.3344620995051,124.24138230441956,1088.7388535340249,3.183840635346319,0.17263965549095645,24.10596575941446,5907.626197703277,0.0007659779558779612,19,0
20,135.29706451045877,124.22227104939357,1089.8711360012194,3.1811621433331765,0.1801706159080847,24.330046453182433,5908.720499310331,0.0007612756059557908,20,0
21,135.3122929380994,124.23853530950305,1081.9552773032092,3.185680690949816,0.17554010379402443,24.053931622695586,5906.856412882526,0.0007755133465555526,21,0
22,135.3236305901032,124.19661286054512,1086.323977026466,3.1684082711861055,0.17968533804670417,24.43438424113512,5904.092848278946,0.0007457560331274806,22,0
23,135.34433061295363,124.23632575099843,1085.2726925832533,3.183620608770289,0.1699704652198274,24.027134624824583,5912.933810293072,0.0007663429786539745,23,0
24,135.34370689655174,124.20025862068965,1093.4567913996373,3.191259615110385,0.16487288358434682,24.03719670749203,5958.909294457222,0.0007799864430875396,24,0
25,135.3337683807535,124.21430435917515,1089.9488138091065,3.18600273334196,0.17192429320643635,24.08831451383564,5932.132882215788,0.0007496738942650086,25,0
26,136.06050237836936,124.36718684803472,1129.4563610302741,3.23151829741856,0.19296297207019514,23.940742360151017,6115.881895817599,0.0007443829270502747,26,0
27,135.35278330880442,124.19582720110813,1091.8888445865048,3.18876316846228,0.16479366036441123,24.104549854519846,5928.164326159,0.0007739200500546417,27,0
28,135.31638615156535,124.19839539548269,1093.8954704401458,3.1838932527452304,0.17847994362039646,24.325747358702117,5948.090308395767,0.0007671981141418851,28,0
29,135.3410731367945,124.15305678754675,1088.7084986096424,3.18026679352368,0.17242940472993243,24.048348434372485,5949.109039711688,0.0007591738640979547,29,0
30,135.30922258092662,124.20041881162203,1085.9203185265123,3.1847813447070314,0.1759337672989883,24.16104015568106,5934.711729274975,0.0007722415668132212,30,0
31,135.30455656424581,124.19596717877096,1082.430324198833,3.1847226096724124,0.17591177614306908,23.99941535845876,5915.579580295864,0.0007814997913621861,31,0
32,135.31757351646417,124.18850149674239,1080.6774966259673,3.1703970576382905,0.17975920676471407,24.262437193134502,5896.716758518634,0.0007499238853138637,32,0
33,135.3168576677456,124.17933689091068,1089.5981319311395,3.1813910848145754,0.17511298519581628,24.306493188910906,5913.767488216674,0.0007561273159380423,33,0
34,135.35887096774192,124.1257889200561,1085.6923502575435,3.1732495367873135,0.17835897159243114,24.268193313084993,5905.7570337651,0.0007524172869154651,34,0
35,135.3481264030392,124.16896908996719,1094.685329319123,3.1922918084280987,0.17130138896832092,24.101602398236608,5936.549500470246,0.0007635806764254341,35,0
36,135.33591931730024,124.191276614085,1100.493260762215,3.1910950573206804,0.1657689237907986,24.09493045716771,5952.7660217828015,0.0007367205325586217,36,0
37,135.32618362542505,124.18458453221729,1094.0926725897139,3.1825062413308025,0.17778783079376634,24.325889921560474,5925.517584119807,0.0007582439837344757,37,0
38,135.35868253147095,124.09622348680807,1074.1943976911334,3.184909018498507,0.1820639965140469,23.617828195485345,5921.006451487521,0.0007876811122354966,38,0
39,135.34089358799454,124.20804911323329,1094.9002025073676,3.1975113958946033,0.16560778557009406,23.806237349878813,5947.458672419878,0.0007542821955936244,39,0
40,135.3399655469423,124.18354866494401,1093.7577688855151,3.1946067816295356,0.1703580649332701,24.02310345097385,5933.253618395596,0.0007482835942493307,40,0
41,135.32553504895589,124.2022355081882,1091.567309320703,3.1873183640319835,0.17666545189580718,24.118331503056865,5929.94903043418,0.0007407584119772122,41,0
42,135.34697021567956,124.15542622389593,1097.8852859138428,3.197589814700174,0.17553175063274373,23.961036281070687,5943.815503884559,0.0007629511665722958,42,0
43,136.06805940917252,124.31573363799576,1143.364288280204,3.242283780445924,0.1943311152419479,23.699569872953468,6200.133051448867,0.0007005200179313206,43,0
44,135.35699693564862,124.13610827374872,1091.1568530874515,3.1999398828197068,0.16903770463663517,23.68445671921179,5962.542088758913,0.000742387034850993,44,0
45,135.31632740702568,124.1728935841278,1087.6185935430722,3.1942467391428577,0.17841579630421486,23.820556673836933,5952.750355390769,0.0007509611918612715,45,0
46,135.3438273184882,124.16287006228137,1101.9845312632858,3.1996528478191912,0.16991329858792442,23.974580280875173,5979.339229458172,0.0007355615045069742,46,0
47,135.35403514758573,124.11951885343798,1090.5526258778195,3.1970357154147124,0.1766290637030412,23.723845725886704,5954.951434424416,0.0007365570994042649,47,0
48,135.34286945282207,124.09607927617407,1089.7098169449062,3.183515273389926,0.18158348750151962,23.944506964321505,5957.745007735748,0.0007412628577488645,48,0
49,135.28844014717208,124.14357833490203,1096.9176699022564,3.2033422479163653,0.18295844599252162,23.933773066233883,5960.278960962345,0.0007422678349418523,49,0
50,135.29223202170962,124.12279511533242,1102.9331007523817,3.2105290230536374,0.17891319505009332,23.850741239133086,5973.30224909286,0.000736327050499894,50,0
51,135.26101928374655,124.14979338842976,1100.600772505067,3.1984952557142314,0.18255218687100422,24.1609157187321,5958.529546965719,0.0007534691792606503,51,0
52,135.27597708030444,124.12588728298982,1096.949979442292,3.2026805030876258,0.18576628289059083,23.922196592643843,5936.760366785931,0.0007297793158476706,52,0
53,135.27554179566565,124.12676298589611,1094.9676477379787,3.200662126200707,0.18702219476041587,24.012448415306547,5949.813299815585,0.0007577767301436339,53,0
54,136.06814997939844,124.31759373712403,1138.4490758319637,3.236750750090557,0.19516883270103458,23.922910122550533,6158.2015296806785,0.0007123664119985761,54,0
55,135.3090815273478,124.09778121775025,1091.0896926078078,3.1986866284822,0.19501563503586394,23.83357257674434,5935.84754218025,0.0007474171703291954,55,0
56,135.3397967823878,124.10745131244708,1107.3737848075828,3.209374498871249,0.17191786668776898,23.910272237589638,5987.211493691157,0.0007603502288141439,56,0
57,135.3111092308994,124.10093916575006,1108.7169432199553,3.2110257213644733,0.17807380982102267,23.921044125652642,5973.459381278346,0.0007709261402931067,57,0
58,135.33276725821517,124.09662902267131,1107.2042320493535,3.2064483513653665,0.17340820495411555,23.97359931838203,5970.5033564159785,0.0007509978303143389,58,0
59,136.0540938061775,124.23263605164243,1143.2319982536765,3.2394371826501986,0.20838303989834628,23.821225654084614,6221.499284995853,0.0007479453673913818,59,0
60,136.08031867327858,124.19600032517681,1148.0670098496785,3.2420319989157007,0.2137944873385538,23.79945431360605,6216.723084662965,0.0007352816212750919,60,0
61,135.34551191563563,123.88001328572615,1110.6344158662819,3.2330652821265566,0.18474279080149525,23.424490710789303,6022.452062450619,0.0007379906970917321,61,0
62,135.18385453267743,123.5806394940267,1052.4341989614143,3.1853191215061556,0.1759576283909747,23.574378139068926,5808.142327972244,0.0008026506583457115,62,0
63,135.22028553910835,123.4720154156083,1064.6984210877079,3.176372216414967,0.1679960730715933,23.780160933464614,5887.1032488894225,0.0007855489755994248,63,0
64,135.2508973124398,123.39254136391492,1078.262540775622,3.1790095508807044,0.17534544077961864,24.070467293861824,5887.788059503571,0.0007640339542631547,64,0
65,135.24980195405334,123.25833993486489,1080.541295409658,3.1830989069658444,0.18485482984394738,24.25297335881197,5915.452840407743,0.0007715236179656557,65,0
66,135.26694401109378,123.24033628011787,1104.4715887270745,3.1899342251130753,0.169444675793456,24.409798502808457,5998.301981632834,0.0007674587871289006,66,0
67,136.08460905349796,123.2641975308642,1131.9696492941175,3.234612194588822,0.2073922202285448,23.757387701234563,6198.01878397352,0.0007331600729230599,67,0
68,136.09079033311562,123.1657413455258,1146.6961136876546,3.2404207418068522,0.20956945838129798,23.873898513255384,6208.585992727631,0.0007439670900993839,68,0
69,136.13586559532504,123.03847090333576,1149.0790620054738,3.244494253219659,0.2043285968816318,23.781767779514308,6208.789431748383,0.0007622201224410736,69,0
70,135.36945683547626,122.36394647074259,1065.2006824926486,3.1774400468718613,0.16062923426933523,23.758083970578625,5818.8506888650645,0.0007902941012628356,70,0
71,135.4030195381883,122.17930728241564,1059.8623672095232,3.1605781111131552,0.17739802712238822,24.002211690801815,5847.364612554685,0.000830250799315053,71,0
72,136.17779291553134,122.27264986376022,1121.9441121306452,3.2067707661437237,0.19141889776915977,24.265480626803804,6099.335915865222,0.0007621098684783435,72,0
73,136.16028217537527,122.04413091624969,1130.4391749104482,3.242325289598477,0.2155704802495013,23.64547531803497,6135.61400294692,0.0007685366245461377,73,0
74,136.23822463768116,121.92152503293808,1138.8389921456715,3.238438440199503,0.20489835146612456,23.91336816511415,6115.672485685489,0.0007596040014103434,74,0
75,136.1374848011117,121.36294945284003,1098.701788711443,3.1962067147182465,0.20202439982208553,24.332895268492095,5981.584905804907,0.000771532390281134,75,0
76,136.22753923090187,121.18701500258665,1110.5405300981208,3.2015149888500747,0.19505389726754851,24.416954231334785,6016.571126539769,0.0007694857704141442,76,0
77,136.27148257034858,121.01898362032759,1114.400756517042,3.2240434412206334,0.20201354368619254,23.776379013467338,6017.595988077957,0.0007394575530796346,77,0
78,136.1998052407932,120.53098441926346,1064.8746772011107,3.1711814270173018,0.17891234090702948,24.038867093332442,5844.599859753351,0.0008299312071956177,78,0
79,136.28973105134475,120.37635347537548,1083.6696863956906,3.177181347249118,0.1727921193700238,24.12991355491627,5876.28563651991,0.0007842590909185136,79,0
80,136.36214355080782,120.12024366557782,1093.6229706266604,3.1688594707233233,0.18708240609507412,24.62027522819797,5916.297038820709,0.0007690174853284962,80,0
81,137.1087789438614,120.19781775778777,1150.2554729723342,3.224032589826474,0.21106423838736418,24.430713443940135,6148.734506771844,0.0007713780659491592,81,0
82,136.343062415806,119.47588684328693,1052.7412069682607,3.153902935568401,0.1654375711092675,24.014033818584487,5763.5102344633815,0.0008388129220479382,82,0
83,137.13799621928166,119.40402130950335,1119.9952171954665,3.1997701412547497,0.19918705613695128,24.540194224509705,6010.7365767593255,0.0007474772155577256,83,0
84,137.1726409444777,119.22756437676448,1122.8371732499131,3.209192033585202,0.2198523350282705,24.399062537896995,6021.276221887185,0.0007518939146557022,84,0
85,137.21814398668332,119.07382438618393,1136.9469474457078,3.230215235900779,0.20765949322807498,24.035332888157285,6059.3531689087,0.0007201893718219573,85,0
86,137.13183927164494,118.51799002013482,1082.4894072838085,3.179684153460283,0.19664635190461624,24.164825252330488,5892.781952690867,0.000778283854747842,86,0
87,137.20857871143536,118.31001142656237,1109.971840761112,3.186367860494539,0.20467562019771463,24.878510977769494,5932.449312664639,0.0007860742953973912,87,0
88,137.27753872633392,118.1381239242685,1117.9002377056565,3.1976755757549404,0.19383116600410713,24.53223413209487,5981.075058848379,0.0007997745438016062,88,0
89,137.19526202440775,117.54316223977028,1059.7478034985288,3.1668571497224227,0.19374467557106012,24.24943376634286,5779.433838915404,0.0007928263008705532,89,0
90,137.25095360596114,117.34258848576243,1089.713259282482,3.1736322735722684,0.1880554981184708,24.64977212073387,5892.300882740286,0.0007937990607452072,90,0
91,137.32376548595357,117.0605478974001,1091.0434963668276,3.182258114512541,0.20859342391386643,24.27290975166123,5915.7411290524415,0.0007659564217627243,91,0
92,137.3038436957911,116.58504519309778,1044.5968465001247,3.145806975117264,0.18010865280278943,24.31956503766382,5701.348879920939,0.0008187546259976153,92,0
93,137.36821121644368,116.38974040932045,1071.478317954873,3.16170325970614,0.17066945282617108,24.11229669181694,5813.137506238694,0.0008215823409477931,93,0
94,138.1761912837036,116.26886552484314,1138.076180564753,3.2160489738504467,0.211124376287917,24.60653095167136,6070.551505739802,0.0007311014515518591,94,0
95,138.2240903387704,116.08774571309075,1130.6810641959032,3.2191137652636237,0.2151435789541311,24.117412912585138,6071.363451680142,0.0007965963705732595,95,0
96,138.18923428170004,115.51554267650158,1088.1964108998366,3.1858210193392513,0.19838866717651593,24.366884859453663,5898.461964935328,0.0008013847727202977,96,0
97,138.27825933132848,115.32434105784539,1098.9088779901658,3.16894146168988,0.19848754345904848,24.785225887802255,5940.408823628684,0.000802008686179221,97,0
98,139.08375613407637,115.2451967063129,1158.3641671597686,3.229900129242489,0.22153540824150167,24.568149598747482,6136.720199729814,0.0007242001776648119,98,0
99,138.2046490835941,114.5775592311131,1070.197173367898,3.1666992132216043,0.1882126073244754,24.398773286438438,5818.67516664066,0.0008315744309680764,99,0
100,138.29963570127504,114.33324225865209,1073.09987875456,3.156007369075871,0.20518515867951945,24.921718495666013,5791.151090875972,0.0007984092695104173,100,0
101,139.14132168947856,114.2335208665715,1145.8285549575512,3.224752075239731,0.22342854106666793,24.53491321808511,6069.991069931785,0.0007039426641418193,101,0
102,138.37453624106416,113.51705727988417,1047.414861928344,3.150767667186666,0.18343711085270398,24.168924965317863,5693.248144944422,0.0007983431620158873,102,0
103,138.4180079095006,113.27021061344615,1048.250166586701,3.1302836322775214,0.20039171496566727,24.584180307146944,5695.996112873184,0.0008363734453695781,103,0
104,139.20175740868368,113.22837698139215,1118.3277707723448,3.2028130941498745,0.21593080249080157,24.470645569966884,6014.015410636092,0.0007998709818287609,104,0
105,140.05257589322048,113.14202002116058,1173.7299318079802,3.240916587506544,0.22035451736018946,24.359170880689746,6242.192186641447,0.0007423699836883386,105,0
106,139.2338681241185,112.41925246826516,1098.0070591958015,3.179139627779756,0.19782067455071006,24.681928781287848,5888.8996390366265,0.0007996917896387042,106,0
107,139.2643708377147,112.21512443042411,1106.2231709444015,3.1851665049433615,0.20681688003753187,24.621511165429197,5917.732636975672,0.0007672081629537248,107,0
108,140.12953579601177,112.11319058515855,1165.0141062264408,3.235221131524,0.20916797672877208,24.279061546889704,6193.8621514322695,0.0008062945668882569,108,0
109,139.3380192844913,111.40785797963413,1067.565471138975,3.1543027795460308,0.19920388739896666,24.53178292695671,5808.732733399565,0.0008356738790493572,109,0
110,139.3756258941345,111.09915951359085,1079.7505904951347,3.1654428777508037,0.2130294904936616,24.52223265251826,5789.83916273332,0.0007864962902210437,110,0
111,140.20095496830493,111.06931752696138,1154.9900513266966,3.231969126402143,0.21606822344639692,24.246518736174167,6112.23397817088,0.0007766194937503704,111,0
112,139.42389705882354,110.35946691176471,1042.874400524629,3.129188369680096,0.18776156654041687,24.346516335777185,5714.601238580014,0.0008444345238881915,112,0
